brand,rating,review,date_experience,Identified Risk
Shein,3,"Certains choix personnels dans certaines commandes sont très positifs. En ce qui concerne ma dernière commande, je regrette que certaines images ne représentent pas la réalité...tout comme des  bijoux parfois trop petits ou tissu trop léger, comme une étole, récemment commandée.",10 février 2025,Problème de qualité du produit
Shein,3,"Envoi rapide mais malheureusement, beaucoup de tailles et de textiles  sont mauvais, ce qui justifie les prix bas. J'évite de trop commander chez vous car j'ai le sentiment de ne pas prendre soin de ma planète et des gens qui travaillent pour vous. Beaucoup d'articles ont été retournés car l'odeur, ou la taille ou la qualité des textiles étaient mauvaise. Revoyez votre politique afin de garder bonne conscience.",10 février 2025,Problème de livraison
Shein,3,"Pour les obliger, les maquillage etc. tout est bien mais les vêtements je commande plusieurs fois sur Shine, des vêtements, genre des jeans, des combinaisons des robes, Salah jamais été comme sur la photo la qualité, le modèle c’est pas pareil",11 février 2025,Problème de qualité du produit
Shein,1,"J'ai retourné une commande en mai 2024 via mondial relais. Sur l'historique la commande est bien arrivée à l'entrepôt mais cela s'arrête là. Je n'ai jamais été remboursée et toutes mes demandes restent en suspend, on me balade mais la plateforme ne fait rien. Il y en a pour 43 euros que je ne reverrai sans doute jamais. Pour moi, Shein c'est terminé ! service clients nul !",07 mai 2024,Problème de remboursement
Shein,1,"Mon colis a été marquer comme livré or que je n'ai absolument rien reçu, j'ai donc demandé un remboursement qui ne s'effectuera donc jamais. Shein n'a pas prit en compte m'a plainte.",11 février 2025,Problème de livraison
Shein,1,"2 commandes chez vous et 2 colis non livrés dans ma boîte aux lettres (livreurs distants qu'ils ont bien déposé dans la boîte mais jamais de colis en vue...)Donc soit faire des démarches et prouver mon innocence pour quelques euros malheureux...BrefTrès mauvaises expériences chez vous, peut être le problème vient du transporteur mais quand on fait réclamation ce n'est pas Shein qui prends en charge mais la plateforme de livraison donc une galère en plus...Je ne pense plus commander chez vous",11 février 2025,Problème de livraison
Shein,1,"Je ne suis pas satisfaîte par le livreur Shein de mon colis n° de suivis #CIFR5096347369176 passé le 28 javier 2025 d'un montant de plus de 122€. Vous avez commencé à préléver sur mon compte le 29 janvier 2025 d'un montant de 47€92. Le livreur a fait semblant de me livrer le colis en prenant en photo mon colis dans ma boîte avec mon YORO, il ne m'a jamais livré. C'est un colis de 22 articles. Je fais une réclamation depuis la semaine passée auprès de vous Shein mais vous faîte la sourde oreille",28 janvier 2025,Problème de livraison
Shein,2,Ma commande a était perdu ou volée je ne sais pas mais je ne l’ai pas eu j’espère encore avoir une réponse du service client cette commande était importante pour moi et souhaite vraiment l’avoir,11 février 2025,Problème de livraison
Shein,3,Je ne suis pas d’accord avec certain produit que j’ai acheté et ne m’a jamais servi et j’ai demandé un bon de retour qui ne m’a jamais été envoyé jusqu’à présent.Je souhaite que vous fassiez le nécessaire svp pour un bon de retour avant que je puisses vous répondre pour quoi que ce soit.Je vous remercie par avance.,07 février 2025,Problème de remboursement
Shein,1,"Mon colis n'a pas était livré  je ne les pas reçu c'est pas normal,  de plus faute professionnelle du livreur il ne m'a pas appelé.Je souhaiterais me faire rembourser. Sinon je porte plainte.",11 février 2025,Problème de livraison
Shein,1,Colis non reçu  livré  n importe ou et shein ne veut rien faire malgre ma volonté de prouver que il n as pas etais livré a mon domicile donc perdu 52€,07 février 2025,Problème de livraison
Shein,1,"Tellement déçu rien à voir avec les photos donnés sur le site on dirait des très vielles serviettes d’éponge, posés sur le canapé",11 février 2025,Problème de qualité du produit
Shein,1,"Colis livré par Cirro Parcel à 13h dans mon jardin sans m'appeler ni même me demander mon accord pour rentrer chez moi. Retour vers 18h et pas de colis !!!SAV Shein qui me fait tourner en rond en me demandant des preuves !!!!!! SAV à fuir, site à fuir",10 février 2025,Problème de livraison
Shein,3,2 eme commande d affilé que je rencontre un pb Reçu un colis sur 2 pour le moment et un produit manquant dedans dans un ensemble :(,11 février 2025,Problème de livraison
Shein,1,"J'ai fait savoir que ma commande comportait 2 lots de 12 porte-couverts coeur manquants, aucune considération, ce que je retiens de Shein, c'est de me faire passer pour une menteuse, j ai donc décidé de plus passer commande.",27 janvier 2025,Problème de livraison
Shein,2,J’ai reçu des colis qui n’ont rien avoir avec ce que j’ai commandé en plus j’ai reçu un article endommagé,11 février 2025,Problème de livraison
Shein,1,Mon colis n’a jamais été livré et Shein refuse de me rembourser c’est inadmissible !,11 février 2025,Problème de remboursement
Shein,3,Franchement la majorité de ma commande ne correspond ni au photos ni description et surtout les images sur le site,10 février 2025,Problème de livraison
Shein,1,Arrêter de m'envoyer des emails.  Avec vos supposés cadeaux. Jamais je ne commanderai chez vous .,12 février 2025,Problème de livraison
Shein,1,Livraison de 2 semaines et demi alors que j'avais mis livraison urgente supplément je reçois des articles cassée,11 février 2025,Problème de livraison
Shein,3,"Livraison rapide et parfaite !Mais juste pour un échange de pointure, c'est compliqué !!",11 février 2025,Problème de livraison
Shein,1,Les matières en général des vêtements très désagréable et non conforme a l image très déçu,10 février 2025,Problème de qualité du produit
Shein,1,Je ne peux pas ramener les articles que je souhaite retourner et de plus qui sont cassé !!,10 février 2025,Problème de remboursement
Shein,2,Les articles reçu n’étaient pas ce que j’avais commandé.Même pas de geste commercial très déçu,11 février 2025,Problème de livraison
Shein,2,Je souhaitais renvoyer le manteau que je n aime pas mais je ne peux pas avoir le ticket pour retour . Je ne comprends pas ce que je peux faire.,28 janvier 2025,Problème de remboursement
Shein,1,Je j’ai pas reçu la totalités de mes remboursements,28 janvier 2025,Problème de remboursement
Shein,1,Bonjour j’ai reçu les vêtements tous taché,11 février 2025,Problème de livraison
Shein,1,Payer une livraison expresse pour être livré en retards .. bof,28 janvier 2025,Problème de livraison
Shein,3,Hormis le le gilet en jean le xl taille petit mais les autres que j’ai reçu ❤️au top,10 février 2025,Problème de livraison
Shein,1,Je n’ai pas reçu mon colis ! Comment je fais ? Où est mon colis ? Où est mon argent ? C’est pas la première fois et je n’ai pas été remboursé !!,28 janvier 2025,Problème de livraison
Shein,2,L ustensile que j ai acheter étais abîmer,11 février 2025,Problème de qualité du produit
Shein,2,De pas très bonne qualité de plus les tailles ne correspondent pas souvent,27 janvier 2025,Problème de qualité du produit
Shein,1,Un mois pour recevoir une partie du colis et à la fin cr n’est pas la bonne taille,10 février 2025,Problème de livraison
Shein,2,Date de l'expérience: 11 février 2025,11 février 2025,Problème de remboursement
Shein,1,Nul et immorale comme entreprise,28 janvier 2025,Problème de qualité du produit
Shein,1,"Je suis une très bonne cliente de SHEIN, là à un mois, j’ai commandé pour 1500 € d’articles, dans mon premier colis, il y avait des articles manquants, j’ai fait un e-mail au service client au bout d’une semaine ils ne m’ont même pas répondu, j’ai dû téléphoner pour qu’ ils me disent qu’ils m’ont tout   envoyé qui avait pas d’articles manquants et qu’il ne me rembourse pas la en ce moment j’ai des problèmes avec le service client, je suis déçu et très en colère donc là j’ai fait appel à PayPal et j’espère qu’ils vont m’aider donc le service client en France, et en plus ils sont tous incompétent et pas professionnel ils font  tout pour que je ne commande plus à SHEIN  😡😡😡😡😡😡 👎🏻👎🏻👎🏻👎🏻👎🏻PS: et aussi d’autres problèmes de remboursement avant je n’avais pas de problème et maintenant ci",27 janvier 2025,Problème de service client
