brand,rating,review,date_experience
Shein,3,"Certains choix personnels dans certaines commandes sont très positifs. En ce qui concerne ma dernière commande, je regrette que certaines images ne représentent pas la réalité...tout comme des  bijoux parfois trop petits ou tissu trop léger, comme une étole, récemment commandée.",10 février 2025
Shein,3,"Envoi rapide mais malheureusement, beaucoup de tailles et de textiles  sont mauvais, ce qui justifie les prix bas. J'évite de trop commander chez vous car j'ai le sentiment de ne pas prendre soin de ma planète et des gens qui travaillent pour vous. Beaucoup d'articles ont été retournés car l'odeur, ou la taille ou la qualité des textiles étaient mauvaise. Revoyez votre politique afin de garder bonne conscience.",10 février 2025
Shein,3,"Pour les obliger, les maquillage etc. tout est bien mais les vêtements je commande plusieurs fois sur Shine, des vêtements, genre des jeans, des combinaisons des robes, Salah jamais été comme sur la photo la qualité, le modèle c’est pas pareil",11 février 2025
Shein,1,"J'ai retourné une commande en mai 2024 via mondial relais. Sur l'historique la commande est bien arrivée à l'entrepôt mais cela s'arrête là. Je n'ai jamais été remboursée et toutes mes demandes restent en suspend, on me balade mais la plateforme ne fait rien. Il y en a pour 43 euros que je ne reverrai sans doute jamais. Pour moi, Shein c'est terminé ! service clients nul !",07 mai 2024
Shein,1,"Mon colis a été marquer comme livré or que je n'ai absolument rien reçu, j'ai donc demandé un remboursement qui ne s'effectuera donc jamais. Shein n'a pas prit en compte m'a plainte.",11 février 2025
Shein,1,"2 commandes chez vous et 2 colis non livrés dans ma boîte aux lettres (livreurs distants qu'ils ont bien déposé dans la boîte mais jamais de colis en vue...)Donc soit faire des démarches et prouver mon innocence pour quelques euros malheureux...BrefTrès mauvaises expériences chez vous, peut être le problème vient du transporteur mais quand on fait réclamation ce n'est pas Shein qui prends en charge mais la plateforme de livraison donc une galère en plus...Je ne pense plus commander chez vous",11 février 2025
Shein,1,"Je ne suis pas satisfaîte par le livreur Shein de mon colis n° de suivis #CIFR5096347369176 passé le 28 javier 2025 d'un montant de plus de 122€. Vous avez commencé à préléver sur mon compte le 29 janvier 2025 d'un montant de 47€92. Le livreur a fait semblant de me livrer le colis en prenant en photo mon colis dans ma boîte avec mon YORO, il ne m'a jamais livré. C'est un colis de 22 articles. Je fais une réclamation depuis la semaine passée auprès de vous Shein mais vous faîte la sourde oreille",28 janvier 2025
Shein,2,Ma commande a était perdu ou volée je ne sais pas mais je ne l’ai pas eu j’espère encore avoir une réponse du service client cette commande était importante pour moi et souhaite vraiment l’avoir,11 février 2025
Shein,3,Je ne suis pas d’accord avec certain produit que j’ai acheté et ne m’a jamais servi et j’ai demandé un bon de retour qui ne m’a jamais été envoyé jusqu’à présent.Je souhaite que vous fassiez le nécessaire svp pour un bon de retour avant que je puisses vous répondre pour quoi que ce soit.Je vous remercie par avance.,07 février 2025
Shein,1,"Mon colis n'a pas était livré  je ne les pas reçu c'est pas normal,  de plus faute professionnelle du livreur il ne m'a pas appelé.Je souhaiterais me faire rembourser. Sinon je porte plainte.",11 février 2025
